mechanism,kappa,cohort_replicate,n_units,positive_units,sign_gate_6of8,aggregate_stat_mean_delta,aggregate_p,aggregate_reject_005,full_gate_pass,mean_delta_theta,median_delta_theta,mean_theta_obs,mean_theta_null_center,unit_native_reject_fraction,unit_positive_fraction,native_null_valid_fraction_min,native_spectral_error_median,native_count_exact_fraction_min,native_group_count_exact_fraction_min,injection_multiset_exact_all,injection_event_count_exact_all
persistent_regime_alignment,0.6,46,8,7,True,0.0713594318081004,0.029940119760479,True,True,0.0713594318081004,0.0612940856546207,0.4879052164582927,0.5592646482663932,0.125,0.875,1.0,0.0104637389156989,1.0,1.0,True,True
persistent_regime_alignment,0.6,47,8,8,True,0.1345673567084921,0.0019960079840319,True,True,0.1345673567084921,0.0957755904090169,0.4241417894920933,0.5587091462005855,0.25,1.0,1.0,0.0143286312971061,1.0,1.0,True,True
persistent_regime_alignment,0.6,48,8,3,False,0.0053402886178745,0.3972055888223553,False,False,0.0053402886178745,-0.0305036330258102,0.5314183901008291,0.5367586787187038,0.25,0.375,1.0,0.009758059479976,1.0,1.0,True,True
persistent_regime_alignment,0.6,49,8,5,False,0.0362153792468892,0.1097804391217564,False,False,0.0362153792468892,0.0290780655839307,0.4797504998798986,0.5159658791267878,0.125,0.625,1.0,0.0113479724996599,1.0,1.0,True,True
persistent_regime_alignment,0.6,50,8,5,False,0.0731732660084382,0.0139720558882235,True,False,0.0731732660084382,0.0644146375916626,0.4169961455480682,0.4901694115565065,0.125,0.625,1.0,0.0119970785685615,1.0,1.0,True,True
persistent_regime_alignment,0.6,51,8,1,False,-0.0824619447743664,0.9600798403193612,False,False,-0.0824619447743664,-0.0809016321505192,0.6296180468739725,0.5471561020996061,0.0,0.125,1.0,0.0128001202640382,1.0,1.0,True,True
persistent_regime_alignment,0.6,52,8,4,False,-0.0064136729343123,0.4910179640718562,False,False,-0.0064136729343123,0.0114074388260388,0.5579914456158545,0.5515777726815422,0.0,0.5,1.0,0.0118951189685868,1.0,1.0,True,True
persistent_regime_alignment,0.6,53,8,5,False,0.0353652132254626,0.1337325349301397,False,False,0.0353652132254626,0.039998519359197,0.5066610383223114,0.5420262515477738,0.125,0.625,1.0,0.0118505348774278,1.0,1.0,True,True
persistent_regime_alignment,0.6,54,8,4,False,0.032093722895773,0.2435129740518962,False,False,0.032093722895773,0.0375262003657935,0.531756873473848,0.5638505963696211,0.125,0.5,1.0,0.0123091773285153,1.0,1.0,True,True
persistent_regime_alignment,0.6,55,8,5,False,-0.023411702214431,0.6806387225548902,False,False,-0.023411702214431,0.0384788274576466,0.5893024684034156,0.5658907661889845,0.0,0.625,1.0,0.011343661770973,1.0,1.0,True,True
