family,phi,lambda,replicate,theta_obs_independent,theta_obs_raw_independent,p_annual_independent,p_native_independent,annual_reject_independent,native_reject_independent,annual_only_independent,native_only_independent,annual_spectral_error_median,native_spectral_error_median,native_month_exact_fraction,theta_obs,theta_abs_diff
gaussian,0.2,0.5,220,1.0,1.0394298496097467,1.0,1.0,False,False,False,False,0.000454269800360481,0.00020033893986331423,1.0,1.0,0.0
gaussian,0.2,1.0,69,0.8783088764206589,0.8783088764206589,0.23,0.27,False,False,False,False,0.0033867217471470726,0.00019384508005005228,1.0,0.8783088764206589,0.0
gaussian,0.2,1.0,92,0.9147266770132781,0.9147266770132781,0.14,0.35,False,False,False,False,0.002639487658188501,0.0001964218110300312,1.0,0.914726677013278,1.1102230246251565e-16
gaussian,0.2,1.0,117,1.0,1.2432973537604457,1.0,1.0,False,False,False,False,0.00044711771178388674,0.00019303382141072273,1.0,1.0,0.0
gaussian,0.2,1.0,129,0.7175353356890459,0.7175353356890459,0.01,0.04,True,True,False,False,0.0009158654763770602,0.00019399160831972716,1.0,0.7175353356890459,0.0
gaussian,0.2,1.0,136,0.7231846718787017,0.7231846718787017,0.08,0.05,False,False,False,False,0.003861382703559432,0.00020360673885306047,1.0,0.7231846718787017,0.0
gaussian,0.2,1.0,133,1.0,1.0686122102882984,1.0,1.0,False,False,False,False,0.00048336570349147404,0.0001897651553779503,1.0,1.0,0.0
gaussian,0.2,1.0,159,0.9779912233566183,0.9779912233566183,0.18,0.42,False,False,False,False,0.002035072585179752,0.00020232241478589373,1.0,0.9779912233566184,1.1102230246251565e-16
gaussian,0.2,1.0,189,0.998407786149982,0.998407786149982,0.46,0.39,False,False,False,False,0.0012470324341397497,0.00018928771779738165,1.0,0.998407786149982,0.0
gaussian,0.2,1.0,259,0.8750778816199377,0.8750778816199377,0.13,0.25,False,False,False,False,0.003772779906890366,0.00019985993054448954,1.0,0.8750778816199377,0.0
gaussian,0.2,2.0,18,0.7842509603072984,0.7842509603072984,0.02,0.19,True,False,True,False,0.015897173632511592,0.00020471835029524905,1.0,0.7842509603072984,0.0
gaussian,0.2,1.0,218,1.0,1.297202568134172,1.0,1.0,False,False,False,False,0.0006529394537095516,0.00019358737190938312,1.0,1.0,0.0
gaussian,0.2,2.0,63,0.9405760626398211,0.9405760626398211,0.16,0.49,False,False,False,False,0.007132128432744333,0.00019955285735927388,1.0,0.9405760626398212,1.1102230246251565e-16
gaussian,0.2,2.0,111,0.7890532192919933,0.7890532192919933,0.09,0.24,False,False,False,False,0.013959311499603772,0.00021501733288621368,1.0,0.7890532192919933,0.0
gaussian,0.2,2.0,64,1.0,1.0272511848341233,1.0,1.0,False,False,False,False,0.0007473073596533434,0.00018641706399891142,1.0,1.0,0.0
gaussian,0.2,2.0,86,1.0,1.0835988952623752,1.0,1.0,False,False,False,False,0.0010593814273024268,0.00019813900736071017,1.0,1.0,0.0
gaussian,0.2,2.0,130,1.0,1.16800586213867,1.0,1.0,False,False,False,False,0.004646276019305197,0.00019743309732632487,1.0,1.0,0.0
gaussian,0.2,2.0,153,0.8260169491525424,0.8260169491525424,0.05,0.14,False,False,False,False,0.011377691853809841,0.00020650396512511237,1.0,0.8260169491525424,0.0
gaussian,0.2,2.0,135,0.8269293125810635,0.8269293125810635,0.06,0.21,False,False,False,False,0.0009045136351435255,0.0002120812538692043,1.0,0.8269293125810635,0.0
